CountryCode,Year,T0-4,T5-9,T10-14,T15-19,T20-24,T25-29,T30-34,T35-39,T40-44,T45-49,T50-54,T55-59,T60-64,T65-69,T70-74,T75+,TTotal,M0-4,M5-9,M10-14,M15-19,M20-24,M25-29,M30-34,M35-39,M40-44,M45-49,M50-54,M55-59,M60-64,M65-69,M70-74,M75+,MTotal,F0-4,F5-9,F10-14,F15-19,F20-24,F25-29,F30-34,F35-39,F40-44,F45-49,F50-54,F55-59,F60-64,F65-69,F70-74,F75+,FTotal
AND,2000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64.45328032,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AND,2005,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.77572369,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AND,1995,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.46906813,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AND,2010,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.6383853,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AND,2015,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.94160023,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AND,2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.32163971,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ARE,2010,74.11392611,77.41985433,70.74418263,78.05270245,92.6069183,94.13077664,92.22381521,93.47754926,84.88871819,94.44004767,92.38723091,84.68433963,66.30557333,43.85239174,35.80580866,33.73192119,88.46440028,61.64713269,64.63977253,60.68843379,79.84635502,92.18593734,93.96171401,93.36379852,94.8219541,84.03606752,94.4783176,92.64970362,87.8979496,66.29099401,38.51456816,32.21830986,28.66471089,88.67199146,87.09023575,90.73784554,81.42385548,76.10401142,93.64152196,94.71643958,87.32500826,87.20032166,88.70235876,94.27307002,91.29604157,73.22245786,66.35342934,60.50033807,42.37048982,41.38078902,87.85805756
ARE,2017,85.76527017,80.67805592,71.08787698,67.33238231,93.24339443,94.40799917,94.22681837,88.59510681,93.79480083,92.83225782,87.77087266,79.11555495,70.53280486,68.33466773,34.40996144,37.32443278,88.42974231,86.93318701,81.56459405,78.10667671,75.20156615,94.29794059,95.50610436,96.64080711,88.08791734,94.18456683,95.56562732,94.32709732,84.29553249,71.18144928,79.9578884,33.83268737,39.30578319,91.2030594,84.52518735,79.72927108,63.94708751,57.21442312,90.60545631,90.46853295,86.0646065,90.22259818,92.42819116,82.80876876,64.0526229,60.13401962,68.67389713,45.21146139,35.93731997,33.48047538,81.15332396
ARE,2015,79.41613904,77.13546614,69.84723429,73.73510478,93.13094107,89.69728783,86.36158168,93.37474483,90.43749939,94.26104458,87.18138523,89.02931314,86.44626168,67.80870178,37.12018141,40.21598671,87.33736335,75.774084,73.64911165,71.95226815,86.64584147,94.52546412,89.78053585,86.32098234,94.33239844,92.34055197,94.8993355,91.07858564,92.97118316,88.22380627,75.81444759,34.22502755,43.86841713,89.17934319,83.21447019,80.76104422,67.65553444,60.05529157,89.96058415,89.38874734,86.50447837,89.98188778,82.8838859,91.83470452,71.92728287,74.03134614,81.91753602,50.48076923,46.02124057,34.27707199,82.32354834
ARE,2000,54.85774326,50.70567049,46.88758572,46.5727003,86.26667124,96.7904758,95.7328536,95.27002316,84.50329967,92.80471497,90.08199459,82.85509807,62.14482126,30.8278187,30.95440729,22.0818059,77.55097189,56.19847963,52.07418714,47.61252976,50.87685078,86.18318015,99.03439412,97.36332596,97.10080582,85.9450621,94.89693351,94.90896138,86.48366921,70.51811453,31.34971127,27.4498344,21.20547945,82.52016694,53.44569432,49.24283455,46.0770476,41.52322909,86.43188783,90.79370137,90.85920535,88.96631404,78.70799944,84.07198748,72.30940007,70.54834906,46.34038801,29.9137931,36.77231565,23.05805397,67.23379733
